Customer ID,Total_Revenue,Total_Orders,Total_Items,First_Purchase,Last_Purchase,Customer_Lifespan,AvgOrderValue
12346.0,77556.46,12,74285,2009-12-14 08:34:00,2011-01-18 10:01:00,400,6463.038333333334
12347.0,5408.5,7,3094,2010-07-12 14:57:00,2011-10-31 12:25:00,475,772.6428571428571
12348.0,2019.3999999999999,5,2714,2010-09-27 14:59:00,2011-09-25 13:13:00,362,403.88
12349.0,4428.6900000000005,4,1624,2010-04-29 13:20:00,2011-11-21 09:51:00,570,1107.1725000000001
12350.0,334.40000000000003,1,197,2011-02-02 16:01:00,2011-02-02 16:01:00,0,334.40000000000003
12351.0,300.93,1,261,2010-11-29 15:23:00,2010-11-29 15:23:00,0,300.93
12352.0,2849.84,10,724,2010-11-29 10:07:00,2011-09-28 14:58:00,303,284.98400000000004
12353.0,406.76,2,212,2010-10-27 12:44:00,2011-05-19 17:47:00,204,203.38
12354.0,1079.4,1,530,2011-04-21 13:11:00,2011-04-21 13:11:00,0,1079.4
12355.0,947.61,2,543,2010-05-21 11:59:00,2011-09-05 13:49:00,472,473.805
12356.0,6373.68,6,3417,2010-11-10 09:42:00,2011-11-17 08:40:00,371,1062.28
12357.0,18287.66,3,6587,2010-11-16 10:05:00,2011-06-11 16:07:00,207,6095.886666666666
12358.0,3203.8700000000003,4,931,2009-08-12 07:59:00,2011-12-07 10:04:00,847,800.9675000000001
12359.0,8935.94,10,2752,2009-05-12 13:32:00,2011-12-01 12:43:00,932,893.594
12360.0,4252.89,8,2459,2010-02-22 09:32:00,2011-10-18 15:22:00,603,531.61125
12361.0,511.25,4,235,2010-01-26 14:37:00,2011-02-25 13:51:00,394,127.8125
12362.0,4827.1900000000005,10,2009,2009-01-12 10:10:00,2011-11-10 14:33:00,1032,482.71900000000005
12363.0,552.0,2,408,2011-08-22 10:18:00,2011-11-04 13:29:00,74,276.0
12364.0,1313.1,4,1506,2011-02-12 10:22:00,2011-10-30 15:43:00,260,328.275
12365.0,641.38,2,174,2011-02-21 13:51:00,2011-02-21 14:04:00,0,320.69
12366.0,500.24,1,296,2010-03-16 10:28:00,2010-03-16 10:28:00,0,500.24
12368.0,917.7,1,330,2010-03-21 15:56:00,2010-03-21 15:56:00,0,917.7
12369.0,1791.15,3,1241,2010-08-03 08:09:00,2010-10-22 13:13:00,80,597.0500000000001
12370.0,4320.31,7,2605,2010-03-25 10:28:00,2011-10-19 14:51:00,573,617.1871428571429
12371.0,4067.38,5,1436,2010-04-03 18:23:00,2011-11-10 10:43:00,585,813.476
12372.0,1298.04,3,794,2011-02-16 12:46:00,2011-11-05 10:43:00,261,432.68
12373.0,1127.65,3,516,2010-03-25 13:49:00,2011-01-02 13:10:00,282,375.8833333333334
12374.0,2989.2200000000003,4,1362,2010-04-30 14:01:00,2011-11-14 15:37:00,563,747.3050000000001
12375.0,457.5,2,178,2011-02-09 14:23:00,2011-11-29 10:36:00,292,228.75
12376.0,503.15,2,240,2010-10-18 08:42:00,2010-11-15 12:15:00,28,251.575
12377.0,3426.32,4,2105,2010-04-29 15:34:00,2011-01-28 15:45:00,274,856.58
12378.0,5416.32,2,3316,2010-05-26 14:07:00,2011-02-08 10:34:00,257,2708.16
12379.0,1620.22,4,815,2010-06-23 12:49:00,2011-09-19 10:09:00,452,405.055
12380.0,9676.300000000001,11,3355,2010-02-15 12:05:00,2011-11-18 11:27:00,640,879.6636363636364
12381.0,1698.3,4,716,2011-06-11 13:36:00,2011-12-10 11:30:00,181,424.575
12383.0,1850.56,5,1532,2010-12-22 14:28:00,2011-12-01 14:10:00,343,370.11199999999997
12384.0,585.27,2,126,2011-10-08 11:23:00,2011-11-11 08:39:00,33,292.635
12385.0,1938.4,1,612,2010-11-25 15:14:00,2010-11-25 15:14:00,0,1938.4
12386.0,660.8000000000001,2,568,2010-08-12 09:53:00,2011-06-01 12:37:00,293,330.40000000000003
12387.0,143.94,1,134,2010-10-20 16:27:00,2010-10-20 16:27:00,0,143.94
12388.0,3901.11,8,2001,2010-06-05 12:54:00,2011-11-24 12:30:00,536,487.63875
12389.0,1433.33,3,614,2010-02-11 11:52:00,2010-05-21 15:12:00,99,477.77666666666664
12390.0,549.84,1,353,2011-09-21 09:33:00,2011-09-21 09:33:00,0,549.84
12391.0,2773.42,6,1220,2010-01-09 12:38:00,2011-11-18 12:07:00,677,462.2366666666667
12392.0,234.75000000000003,1,73,2010-04-27 14:04:00,2010-04-27 14:04:00,0,234.75000000000003
12393.0,2399.45,6,1311,2010-07-10 13:49:00,2011-11-01 09:47:00,478,399.9083333333333
12394.0,1272.48,2,819,2011-06-05 14:01:00,2011-07-10 08:08:00,34,636.24
12395.0,5067.27,15,3733,2010-02-08 12:37:00,2011-12-05 10:15:00,664,337.81800000000004
12396.0,931.4300000000001,1,591,2010-03-02 13:22:00,2010-03-02 13:22:00,0,931.4300000000001
12397.0,2409.9,2,1263,2011-04-11 09:52:00,2011-07-27 14:21:00,107,1204.95
12398.0,1635.6599999999999,1,1394,2011-10-25 10:27:00,2011-10-25 10:27:00,0,1635.6599999999999
12399.0,1962.3,7,2198,2010-05-03 08:45:00,2011-12-08 13:15:00,584,280.3285714285714
12400.0,205.25,1,91,2010-10-21 13:45:00,2010-10-21 13:45:00,0,205.25
12401.0,84.3,1,11,2011-09-02 13:50:00,2011-09-02 13:50:00,0,84.3
12402.0,1256.9,6,584,2010-04-18 12:04:00,2011-01-20 13:49:00,277,209.48333333333335
12403.0,1019.36,2,260,2010-06-07 11:39:00,2011-10-21 10:51:00,500,509.68
12404.0,63.24,1,1,2010-01-26 16:25:00,2010-01-26 16:25:00,0,63.24
12405.0,1710.39,1,857,2011-07-14 08:52:00,2011-07-14 08:52:00,0,1710.39
12406.0,6390.36,5,3416,2010-04-22 18:41:00,2011-11-17 19:22:00,574,1278.072
12407.0,1708.12,5,1416,2011-03-20 13:21:00,2011-10-21 10:11:00,214,341.62399999999997
12408.0,4340.77,8,2229,2010-07-29 13:27:00,2011-07-11 12:27:00,346,542.59625
12409.0,23419.29,7,13143,2010-02-07 15:10:00,2011-10-06 12:19:00,605,3345.612857142857
12410.0,1013.71,3,341,2010-07-25 13:26:00,2011-04-02 10:39:00,250,337.90333333333336
12411.0,346.9,1,138,2010-10-26 09:25:00,2010-10-26 09:25:00,0,346.9
12412.0,2596.93,6,1997,2010-02-11 17:02:00,2011-09-26 10:16:00,591,432.82166666666666
12413.0,999.45,4,319,2010-02-11 13:26:00,2011-06-01 16:12:00,475,249.8625
12414.0,952.4100000000001,6,495,2010-02-09 12:22:00,2011-06-05 14:51:00,481,158.735
12415.0,144458.37,28,91447,2010-04-11 10:57:00,2011-11-15 14:22:00,583,5159.2275
12416.0,202.56,1,132,2010-02-21 10:19:00,2010-02-21 10:19:00,0,202.56
12417.0,6447.18,19,2715,2009-06-12 10:30:00,2011-10-31 16:02:00,871,339.32526315789477
12418.0,2021.2,4,1088,2010-03-19 14:47:00,2011-08-19 11:08:00,517,505.3
12419.0,503.01,2,231,2010-10-22 10:40:00,2010-11-19 10:04:00,27,251.505
12420.0,600.39,1,345,2011-07-10 08:55:00,2011-07-10 08:55:00,0,600.39
12421.0,1098.6,6,652,2010-07-22 13:57:00,2011-11-24 09:07:00,489,183.1
12422.0,5231.8,17,2596,2009-12-18 12:44:00,2011-06-24 13:20:00,553,307.7529411764706
12423.0,2413.75,9,1590,2010-08-31 09:31:00,2011-08-31 08:55:00,364,268.19444444444446
12424.0,3340.0299999999997,4,2025,2010-09-06 15:15:00,2011-06-30 12:06:00,296,835.0074999999999
12425.0,1741.41,2,1147,2010-09-17 14:10:00,2011-09-22 17:31:00,370,870.705
12426.0,1345.21,2,584,2010-02-15 08:41:00,2011-05-29 12:26:00,468,672.605
12427.0,1129.3,3,612,2010-03-12 10:44:00,2011-11-18 08:56:00,615,376.43333333333334
12428.0,7956.46,9,3536,2011-01-03 09:33:00,2011-11-14 08:22:00,314,884.0511111111111
12429.0,7485.91,8,3344,2010-09-12 12:05:00,2011-11-30 17:22:00,444,935.73875
12430.0,256.4,1,117,2011-10-27 15:09:00,2011-10-27 15:09:00,0,256.4
12431.0,10857.970000000001,27,4717,2010-01-12 10:03:00,2011-12-08 14:19:00,695,402.1470370370371
12432.0,5059.32,5,1801,2011-06-20 13:27:00,2011-10-28 11:43:00,129,1011.8639999999999
12433.0,17942.57,8,14889,2010-01-12 13:24:00,2011-11-30 14:05:00,687,2242.82125
12434.0,1103.43,3,532,2010-11-23 13:38:00,2011-09-16 12:38:00,296,367.81
12435.0,13925.93,6,4958,2009-02-12 13:58:00,2011-09-21 09:06:00,950,2320.9883333333332
12436.0,509.01,1,211,2011-01-09 12:09:00,2011-01-09 12:09:00,0,509.01
12437.0,12517.5,38,7979,2009-02-12 16:24:00,2011-12-01 14:13:00,1021,329.4078947368421
12438.0,2906.85,2,1180,2011-07-22 13:29:00,2011-11-25 13:28:00,125,1453.425
12439.0,1158.18,2,484,2009-12-14 08:40:00,2010-01-26 12:11:00,43,579.09
12440.0,859.2,2,331,2009-12-22 12:03:00,2010-03-09 13:11:00,77,429.6
12441.0,347.1,1,242,2010-08-12 10:45:00,2010-08-12 10:45:00,0,347.1
12443.0,485.31,1,182,2009-07-12 15:42:00,2009-07-12 15:42:00,0,485.31
12444.0,5005.46,5,1153,2011-06-21 14:00:00,2011-12-10 12:08:00,171,1001.092
12445.0,434.98,2,206,2010-10-15 12:28:00,2011-11-17 18:43:00,398,217.49
12446.0,1002.3100000000001,1,351,2011-10-13 12:50:00,2011-10-13 12:50:00,0,1002.3100000000001
12447.0,476.49,1,190,2011-10-04 13:25:00,2011-10-04 13:25:00,0,476.49
12448.0,449.45,1,243,2011-10-26 13:46:00,2011-10-26 13:46:00,0,449.45
12449.0,4835.89,6,2282,2010-09-27 09:37:00,2011-11-17 13:46:00,416,805.9816666666667
12450.0,688.2,5,442,2010-05-11 16:27:00,2011-06-19 14:36:00,403,137.64000000000001
12451.0,12669.88,8,9359,2010-02-09 15:35:00,2011-11-29 08:40:00,657,1583.735
12452.0,430.57000000000005,2,185,2011-11-23 08:05:00,2011-11-23 10:28:00,0,215.28500000000003
